"filename","subject","date","time","tot_num_trials","tot_num_free","tot_num_fd","tot_num_fi","tot_forced_trials","events_before_center","events_before_center_fd","events_before_center_fi","events_before_center_tot","events_before_choice","events_before_choice_fd","events_before_choice_fi","events_before_choice_tot","events_during_to","events_during_to_fd","events_during_to_fi","events_during_to_tot"
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 46892.txt","46892",2019-08-27,"13:39",80,60,2,18,20,51,0,9,60,24,3,6,33,939,34,253,1226
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 46893.txt","46893",2019-08-27,"13:39",80,60,9,11,20,47,1,5,53,68,7,28,103,776,74,191,1041
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47097.txt","47097",2019-08-27,"13:39",77,60,7,10,17,32,3,10,45,108,11,13,132,588,74,109,771
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47099.txt","47099",2019-08-27,"13:39",87,60,7,20,27,28,6,19,53,83,58,55,196,1014,90,363,1467
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47638.txt","47638",2019-08-27,"13:39",77,56,10,11,21,90,9,17,116,49,20,19,88,215,32,34,281
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47757.txt","47757",2019-08-27,"13:39",73,56,5,12,17,134,7,31,172,106,10,31,147,401,40,110,551
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47769.txt","47769",2019-08-27,"13:39",84,60,14,10,24,55,10,14,79,49,16,21,86,546,63,121,730
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47771.txt","47771",2019-08-27,"13:39",81,60,9,12,21,45,10,5,60,25,19,22,66,632,95,160,887
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47775.txt","47775",2019-08-27,"13:39",82,60,8,14,22,57,5,10,72,17,5,7,29,562,85,113,760
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47781.txt","47781",2019-08-27,"13:39",80,60,8,12,20,73,8,7,88,63,13,23,99,587,40,207,834
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47782.txt","47782",2019-08-27,"13:39",79,60,8,11,19,16,6,7,29,23,1,19,43,903,124,139,1166
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47783.txt","47783",2019-08-27,"13:39",78,60,8,10,18,76,12,6,94,72,4,13,89,536,76,123,735
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47785.txt","47785",2019-08-27,"13:39",82,60,8,14,22,40,7,8,55,39,12,39,90,714,85,175,974
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47788.txt","47788",2019-08-27,"13:39",79,60,6,13,19,67,3,15,85,95,13,28,136,546,78,90,714
"./Ship3_Latin-square/2019-08-27_15h01m_Subject 47080.txt","47080",2019-08-27,"15:01",86,60,12,14,26,50,7,13,70,31,10,11,52,493,37,189,719
"./Ship3_Latin-square/2019-08-27_15h01m_Subject 47089.txt","47089",2019-08-27,"15:01",51,38,10,3,13,136,25,2,163,181,45,6,232,201,37,31,269
"./Ship3_Latin-square/2019-08-27_15h01m_Subject 47791.txt","47791",2019-08-27,"15:01",73,50,9,14,23,71,33,44,148,58,63,43,164,297,52,109,458
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 46885.txt","46885",2019-08-28,"10:03",78,55,9,14,23,180,23,32,235,62,4,42,108,491,74,97,662
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 47238.txt","47238",2019-08-28,"10:03",77,60,7,10,17,41,7,4,52,88,14,27,129,727,92,95,914
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 47242.txt","47242",2019-08-28,"10:03",78,60,5,13,18,57,2,8,67,131,16,65,212,611,51,123,785
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 47244.txt","47244",2019-08-28,"10:03",67,48,11,8,19,197,60,28,285,107,55,121,283,396,86,92,574
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 47767.txt","47767",2019-08-28,"10:03",80,60,7,13,20,61,7,14,82,19,9,7,35,492,56,115,663
"./Ship3_Latin-square/2019-08-28_10h07m_Subject 46884.txt","46884",2019-08-28,"10:07",55,40,6,9,15,88,11,25,124,44,12,28,84,185,30,47,262
"./Ship3_Latin-square/2019-08-28_10h07m_Subject 47083.txt","47083",2019-08-28,"10:07",60,42,10,8,18,146,20,21,187,48,16,12,76,279,53,61,393
"./Ship3_Latin-square/2019-08-28_10h07m_Subject 47246.txt","47246",2019-08-28,"10:07",83,60,7,16,23,57,10,11,78,63,14,23,100,515,56,171,742
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 46900.txt","46900",2019-08-28,"11:18",83,60,11,12,23,51,10,8,69,73,54,48,175,574,66,175,815
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47076.txt","47076",2019-08-28,"11:18",86,60,13,13,26,41,4,8,53,32,18,29,79,852,180,257,1289
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47079.txt","47079",2019-08-28,"11:18",79,59,13,7,20,77,11,9,97,112,21,10,143,419,104,54,577
