"filename","subject","date","time","avg_rxn_time_free","avg_choice_rxn_time_free"
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 46888.txt","46888",2019-08-27,"13:39",145.25,352.8
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 46892.txt","46892",2019-08-27,"13:39",310.9,167.45
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 46893.txt","46893",2019-08-27,"13:39",182.383333333333,211.4
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47097.txt","47097",2019-08-27,"13:39",213.95,312.866666666667
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47099.txt","47099",2019-08-27,"13:39",167.15,232.9
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47638.txt","47638",2019-08-27,"13:39",1398.73214285714,259.053571428571
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47757.txt","47757",2019-08-27,"13:39",1396.96428571429,407.321428571429
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47769.txt","47769",2019-08-27,"13:39",382.65,171.15
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47771.txt","47771",2019-08-27,"13:39",344.233333333333,209.833333333333
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47775.txt","47775",2019-08-27,"13:39",342.716666666667,160.933333333333
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47781.txt","47781",2019-08-27,"13:39",548.066666666667,188.216666666667
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47782.txt","47782",2019-08-27,"13:39",221.033333333333,118.683333333333
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47783.txt","47783",2019-08-27,"13:39",768.966666666667,460.666666666667
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47785.txt","47785",2019-08-27,"13:39",340.283333333333,231.016666666667
"./Ship3_Latin-square/2019-08-27_13h39m_Subject 47788.txt","47788",2019-08-27,"13:39",365.616666666667,261.033333333333
"./Ship3_Latin-square/2019-08-27_15h01m_Subject 47080.txt","47080",2019-08-27,"15:01",252.783333333333,167.183333333333
"./Ship3_Latin-square/2019-08-27_15h01m_Subject 47089.txt","47089",2019-08-27,"15:01",2495.71052631579,754.947368421053
"./Ship3_Latin-square/2019-08-27_15h01m_Subject 47791.txt","47791",2019-08-27,"15:01",652.14,355.82
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 46885.txt","46885",2019-08-28,"10:03",1013.90909090909,284
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 47238.txt","47238",2019-08-28,"10:03",410.15,323.233333333333
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 47242.txt","47242",2019-08-28,"10:03",329.8,287.85
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 47244.txt","47244",2019-08-28,"10:03",1424.29166666667,341.166666666667
"./Ship3_Latin-square/2019-08-28_10h03m_Subject 47767.txt","47767",2019-08-28,"10:03",615.383333333333,270.783333333333
"./Ship3_Latin-square/2019-08-28_10h07m_Subject 46884.txt","46884",2019-08-28,"10:07",2638.675,343.45
"./Ship3_Latin-square/2019-08-28_10h07m_Subject 47083.txt","47083",2019-08-28,"10:07",2971.26829268293,372.170731707317
"./Ship3_Latin-square/2019-08-28_10h07m_Subject 47246.txt","47246",2019-08-28,"10:07",361.266666666667,303.516666666667
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 46900.txt","46900",2019-08-28,"11:18",289.4,284.416666666667
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47076.txt","47076",2019-08-28,"11:18",257.25,172.166666666667
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47079.txt","47079",2019-08-28,"11:18",828.254237288136,677.01724137931
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47082.txt","47082",2019-08-28,"11:18",1769.9375,313.4375
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47092.txt","47092",2019-08-28,"11:18",199.783333333333,346.816666666667
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47226.txt","47226",2019-08-28,"11:18",521.016666666667,213.616666666667
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47227.txt","47227",2019-08-28,"11:18",685.733333333333,142.883333333333
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47250.txt","47250",2019-08-28,"11:18",471.066666666667,179.2
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47646.txt","47646",2019-08-28,"11:18",403.583333333333,475.933333333333
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47760.txt","47760",2019-08-28,"11:18",1140.09433962264,567.188679245283
"./Ship3_Latin-square/2019-08-28_11h18m_Subject 47795.txt","47795",2019-08-28,"11:18",567.766666666667,330.416666666667
"./Ship3_Latin-square/2019-08-28_11h22m_Subject 47229.txt","47229",2019-08-28,"11:22",176.366666666667,282.633333333333
"./Ship3_Latin-square/2019-08-28_11h22m_Subject 47233.txt","47233",2019-08-28,"11:22",191.166666666667,316.883333333333
"./Ship3_Latin-square/2019-08-28_11h22m_Subject 47247.txt","47247",2019-08-28,"11:22",477.533333333333,560.916666666667
"./Ship3_Latin-square/2019-08-28_11h22m_Subject 47777.txt","47777",2019-08-28,"11:22",620.983333333333,381.566666666667
"./Ship3_Latin-square/2019-08-28_11h22m_Subject 47784.txt","47784",2019-08-28,"11:22",492.833333333333,222.366666666667
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 46880.txt","46880",2019-08-28,"12:36",534.966666666667,244.316666666667
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 46882.txt","46882",2019-08-28,"12:36",308.083333333333,289.4
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 46894.txt","46894",2019-08-28,"12:36",305.166666666667,121.183333333333
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47088.txt","47088",2019-08-28,"12:36",870.6,278.633333333333
"./Ship3_Latin-square/2019-08-28_12h36m_Subject 47228.txt","47228",2019-08-28,"12:36",448.366666666667,211.433333333333
